Latitude,Longitude,Ampli I,Ampli I generic,delta_log_pga,ampli_pga
46.429,7.195,-0.31,0.16,0.062015504,1.153494436
46.429,7.2225,-0.31,0.16,0.062015504,1.153494436
46.429,7.25,-0.31,0.16,0.062015504,1.153494436
46.429,7.2775,-0.31,0.16,0.062015504,1.153494436
46.429,7.305,-0.31,0.16,0.062015504,1.153494436
46.429,7.36,-0.31,0.16,0.062015504,1.153494436
46.429,8.295,-0.31,0.16,0.062015504,1.153494436
46.429,8.3775,-0.31,0.16,0.062015504,1.153494436
46.444,7.085,-0.31,0.16,0.062015504,1.153494436
46.444,7.14,-0.31,0.16,0.062015504,1.153494436
46.444,7.25,-0.31,0.16,0.062015504,1.153494436
46.444,7.305,-0.31,0.16,0.062015504,1.153494436
46.444,7.3325,-0.31,0.16,0.062015504,1.153494436
46.444,7.36,-0.31,0.16,0.062015504,1.153494436
46.444,7.3875,-0.31,0.16,0.062015504,1.153494436
46.444,8.35,-0.31,0.16,0.062015504,1.153494436
46.459,7.2225,-0.31,0.16,0.062015504,1.153494436
46.459,7.2775,-0.31,0.16,0.062015504,1.153494436
46.459,7.305,-0.31,0.16,0.062015504,1.153494436
46.459,7.36,-0.31,0.16,0.062015504,1.153494436
46.459,7.3875,-0.31,0.16,0.062015504,1.153494436
46.459,7.415,-0.31,0.16,0.062015504,1.153494436
46.459,7.4975,-0.31,0.16,0.062015504,1.153494436
46.459,8.405,-0.31,0.16,0.062015504,1.153494436
46.473,6.8925,-0.31,0.16,0.062015504,1.153494436
46.473,6.92,-0.31,0.16,0.062015504,1.153494436
46.473,7.14,-0.31,0.16,0.062015504,1.153494436
46.473,7.1675,-0.31,0.16,0.062015504,1.153494436
46.473,7.25,-0.31,0.16,0.062015504,1.153494436
46.473,7.3325,-0.31,0.16,0.062015504,1.153494436
46.473,7.36,-0.31,0.16,0.062015504,1.153494436
46.473,7.3875,-0.31,0.16,0.062015504,1.153494436
46.473,7.415,-0.31,0.16,0.062015504,1.153494436
46.473,7.47,-0.31,0.16,0.062015504,1.153494436
46.473,7.4975,-0.31,0.16,0.062015504,1.153494436
46.473,8.46,-0.31,0.16,0.062015504,1.153494436
46.487,6.8925,-0.31,0.16,0.062015504,1.153494436
46.487,6.92,-0.31,0.16,0.062015504,1.153494436
46.487,7.14,-0.31,0.16,0.062015504,1.153494436
46.487,7.195,-0.31,0.16,0.062015504,1.153494436
46.487,7.2775,-0.31,0.16,0.062015504,1.153494436
46.487,7.36,-0.31,0.16,0.062015504,1.153494436
46.487,7.3875,-0.31,0.16,0.062015504,1.153494436
