#NET STA   CHA LOC    LAT      LON       ELEV ONDATE     OFFDATE 
CE  14241 HNZ  --  33.77720 -118.13340     5 2001/11/01 3000/01/01
CE  14242 HNZ  --  33.84000 -118.19520    15 2001/11/05 3000/01/01
CE  14368 HNZ  --  33.92390 -118.16790    23 1997/09/09 3000/01/01
CE  14400 HNZ  --  33.83700 -118.07240    16 2001/12/12 3000/01/01
CE  14403 HNZ  --  33.92900 -118.26110    26 2008/12/12 3000/01/01
CE  14403 HNZ  --  33.92900 -118.26000    26 1997/07/30 2008/12/12
CE  14404 HNZ  --  33.74550 -118.39690   122 1997/09/16 3000/01/01
CE  14405 HNZ  --  33.78720 -118.35690   134 2002/03/07 3000/01/01
CE  14532 HNZ  --  33.73800 -118.30630    82 2012/09/25 3000/01/01
CE  14537 HNZ  --  33.95170 -118.33620    40 2007/03/12 2014/03/11
CE  14560 HNZ  --  33.76860 -118.19650     8 1998/08/13 3000/01/01
CE  14767 HNZ  --  33.96280 -118.38040    27 2004/03/05 3000/01/01
CE  14787 HNZ  --  33.92440 -118.23940    27 2004/03/05 3000/01/01
NP  1479  HNZ  --  36.53127 -121.14439   384 2009/11/24 3000/01/01
CE  14820 HNZ  --  33.99340 -118.34250    85 2003/04/17 3000/01/01
CE  14821 HNZ  --  33.96860 -118.29120    44 1999/12/03 3000/01/01
CE  14822 HNZ  --  33.94500 -118.38110    29 2011/03/24 3000/01/01
CE  14822 HNZ  --  33.94500 -118.38000    29 2003/04/10 2011/03/24
CE  14823 HNZ  --  33.94400 -118.24600    33 1999/12/03 2008/03/27
CE  14824 HNZ  --  33.86770 -118.29030     7 2003/03/20 3000/01/01
CE  14825 HNZ  --  33.97620 -118.20860    45 2002/10/23 3000/01/01
CE  14826 HNZ  --  33.99640 -118.25440    55 1999/12/03 3000/01/01
CE  14827 HNZ  --  33.92000 -118.12730    29 2003/03/04 3000/01/01
CE  14828 HNZ  --  33.93900 -118.09890    37 2002/01/16 3000/01/01
CE  14829 HNZ  --  33.88290 -118.11790    21 2009/03/11 3000/01/01
CE  14829 HNZ  --  33.88300 -118.11700    21 1999/11/03 2009/03/11
CE  14830 HNZ  --  33.84650 -118.10690    14 2000/09/29 3000/01/01
CE  14831 HNZ  --  33.79180 -118.32030    32 2005/09/01 3000/01/01
